Sarah_Funace_Cave
SURVEY NAME: Sarah_Furnace_Cave_Data
SURVEY DATE: 3 09 2025  COMMENT: All Sarah Furnac cave data as of 2024
SURVEY TEAM: 
SAS
DECLINATION:  0  FORMAT: DDDDLRUDLAaDdNF  CORRECTIONS:  0.00 0.00 0.00  CORRECTIONS2:  0.00 0.00  DISCOVERY: 2 20 2025  PREFIX:

	FROM	TO		LENGTH	BEARING	INC		LEFT	UP		DOWN	RIGHT	FLAGS	COMMENTS

	ACA12	ACA13	8.65	289.05	-6.75	0.00	0.00	0.00	0.00
	ACA13	ACA02	9.13	44.32	-0.90	0.00	0.00	0.00	0.00
	ACA10	ACA11	9.92	340.20	-2.90	0.00	0.00	0.00	0.00
	ACA04	ACA14	8.32	263.70	0.08	0.00	0.00	0.00	0.00
	ACA14	ACA15	3.99	293.75	12.80	0.00	0.00	0.00	0.00
	ACA14	ACA03	7.70	142.50	4.40	0.00	0.00	0.00	0.00
	AAA10	ACA16	5.20	110.55	9.78	0.00	0.00	0.00	0.00
	ACA16	AAA15	11.19	233.95	6.95	0.00	0.00	0.00	0.00
	AAA15	ACA17	6.70	190.65	8.60	0.00	0.00	0.00	0.00
	ACA17	ACA18	11.11	94.65	1.30	0.00	0.00	0.00	0.00
	ACA18	ACA19	6.41	53.67	18.07	0.00	0.00	0.00	0.00
	ACA19	ACA20	19.90	119.70	-14.40	0.00	0.00	0.00	0.00
	ACA20	ACA21	20.04	26.75	-4.45	0.00	0.00	0.00	0.00
	ACA21	ACA10	8.26	286.90	15.35	0.00	0.00	0.00	0.00
	AAA13	ADA01	25.70	284.35	-5.00	0.00	0.00	0.00	0.00
	ADA01	ADA02	5.67	252.35	19.00	0.00	0.00	0.00	0.00
	AAA13	ADA03	10.83	343.02	-26.50	0.00	0.00	0.00	0.00
	ADA03	AAA12	9.67	103.35	25.50	0.00	0.00	0.00	0.00
	ADA03	ADA04	11.00	263.35	11.50	0.00	0.00	0.00	0.00
