Kepler_Sink_Overland_Survey
SURVEY NAME: Kepler_Sink_Overland_Survey
SURVEY DATE: 2 20 2025  COMMENT: Overland survey of the Kepler sinkhole, tying into Kepler, Farrell, Into the Void, and Kepler House
SURVEY TEAM: 
Emma Enos, Noah Synowiec
DECLINATION:  -10.47  FORMAT: DDDDLRUDLAaDdNF  CORRECTIONS:  0.00 0.00 0.00  CORRECTIONS2:  0.00 0.00  DISCOVERY: 2 20 2025  PREFIX:

                FROM                   TO   LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT   FLAGS  COMMENTS

                SAS9             SAS9ss10    59.66   280.30     7.00    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS9             SAS9ss11    70.11   269.80    10.10    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS9             SAS9ss12    50.63   254.90    10.90    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS9             SAS9ss13    68.70   153.70     9.50    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS9                SAS10    71.51   285.70     8.80    50.42    12.26     3.41     8.12  path out of sink
                SAS9                SAS9b    11.95   268.80     1.00    61.33    12.26     3.41    27.91  Bridge length
               SAS10                SAS11   135.85   303.20    -0.20     0.00     0.00     0.00     0.00
               SAS11           SAS12_WELL    49.00    43.50    -5.70     0.00     0.00     0.00     0.00  well cap
               SAS11               SAS11a    17.83    14.30     0.00     0.00     0.00     0.00     0.00  vert tree
               SAS11                SAS13    72.51   353.10    -1.30     0.00     0.00     0.00     0.00  house
               SAS11                SAS14    69.30    49.70    -2.20     0.00     0.00     0.00     0.00  burnt shed
               SAS13                SAS15    57.62   225.80     0.60     0.00     0.00     0.00     0.00  big shed


