Kepler_Sink_Overland_Survey
SURVEY NAME: Kepler_Sink_Overland_Survey
SURVEY DATE: 2 20 2025  COMMENT: Overland survey of the Kepler sinkhole, tying into Kepler, Farrell, Into the Void, and Kepler House
SURVEY TEAM: 
Emma Enos, Noah Synowiec
DECLINATION:  -10.47  FORMAT: DDDDLRUDLAaDdNF  CORRECTIONS:  0.00 0.00 0.00  CORRECTIONS2:  0.00 0.00  DISCOVERY: 2 20 2025  PREFIX:

                FROM                   TO   LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT   FLAGS  COMMENTS

                aaa1                 SAS1     4.53   156.40    26.30     0.00     0.00     0.00     0.00  into the void
                SAS1                 ABA2     8.38   153.30    28.10     0.00     0.00     0.00     0.00
                ABA2                 SAS2    21.40   239.60    18.40     0.00     0.00     0.00     0.00
                SAS2        Kepler_tie_in    31.97   105.90   -16.20    61.93    20.70     6.53    46.76  kepler
                SAS2              SAS2ss0    53.81   351.30    12.40    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2              SAS2ss1    63.74    13.20    13.40    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2              SAS2ss2    58.30    32.00    14.10    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2              SAS2ss3    62.26    60.70    14.70    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2              SAS2ss4    63.39    74.00    13.80    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2              SAS2ss5    58.68    80.30    13.70    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2              SAS2ss6    57.57   116.20    15.80    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2              SAS2ss7    71.51   136.50    16.80    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2              SAS2ss8    70.24   149.80    15.80    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2              SAS2ss9    24.75   356.90   -14.70    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2             SAS2ss10    28.63    29.60   -13.20    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2             SAS2ss11    27.15    47.30   -12.70    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2             SAS2ss12    33.06    68.20    -7.40    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2             SAS2ss13    33.10   109.70    -7.10    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2             SAS2ss14    23.41   152.00   -10.30    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2             SAS2ss15    28.54   179.10    -3.30    -9.90    -9.90    -9.90    -9.90  #|S#
                SAS2                 SAS3    24.34   355.90   -12.00     3.84    20.70     6.53    60.31  mailbox
